,total_mentions,total_users_mentioned,hourly_mentions,hourly_users_mentioned
AG,1,1,1.0,1.0
ALLY,1,1,,
AMC,681,499,210.0,138.0
BB,123,82,72.0,47.0
BC,1,1,,
BIG,5,4,3.0,2.0
BR,2,1,2.0,1.0
COLD,1,1,,
CUZ,1,1,,
DOOR,3,2,3.0,2.0
EARN,3,2,3.0,2.0
EAT,3,2,2.0,1.0
EOD,6,5,3.0,2.0
GME,325,237,190.0,123.0
HES,3,2,3.0,2.0
IP,1,1,1.0,1.0
LOW,7,6,4.0,3.0
MAN,2,2,,
MAX,1,1,,
MEN,1,1,1.0,1.0
NEW,2,2,2.0,2.0
NOK,101,62,54.0,32.0
NOM,2,1,2.0,1.0
ONTO,1,1,,
PER,3,2,3.0,2.0
PLOW,1,1,,
PLTR,1,1,,
PUMP,1,1,,
RH,16,13,14.0,11.0
SAVE,1,1,,
SEE,3,2,2.0,1.0
SKY,1,1,1.0,1.0
SPCE,2,2,,
TD,1,1,1.0,1.0
TT,2,1,2.0,1.0
TV,1,1,,
TWO,4,1,4.0,1.0
WELL,3,3,3.0,3.0
WORK,2,2,1.0,1.0
